city,sex,un4gy,distcat,agxcat,agecat,dcat,time,subjects,upyr,pyr,gdist,agex,age,year,solid,oralca,lip,tongue,saliv,mouth,pharynx,digestca,esoph,stomach,smallint,colon,rectum,liver,gallbldr,pancr,othdig,respca,nasal,larynx,lung,othres,thymus,skinbone,bone,connect,nmskin,skbasal,sksquam,bowens,breast,femgenca,uterus,utrNOS,cervix,corpus,ovary,othfem,malgenca,prost,testis,othmale,urinca,bladder,kidney,renal,othurin,cnsca,thyroid,othsol,msother,adeno,squam,othepi,othnonepi,histnos,cola02w10,cola02g,cola02n,mara02w10,mara02g,mara02n,braa02w10,brea02w10,liva02w10,liva02g,liva02n,luna02w10,ovaa02w10,pana02w10,skea02w10,skia02w10,stoa02w10,tesa02w10,thya02w10,blaa02w10,utea02w10,trunc02,adjust02,outcome,dose,pyr_used,dose_group,dose_group_label
1,1,1,1,7,16,7,6,0,0.14716,0.14089,1646.94,34.702,75.054,1985.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09547,0.09381,1.7e-4,0.10847,0.10502,3.5e-4,0.11456,0.11708,0.10169,0.09907,2.6e-4,0.10758,-0.1,0.09345,0.1056,0.14126,0.09823,0.10224,0.11496,0.09584,-0.1,1,1,0,0.09547,0.14089,0,0-0.1 Gy
1,1,1,1,4,11,7,5,0,99.1588,86.72924,1710.951,17.777,51.577,1979.397,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08904,0.08739,1.6e-4,0.10073,0.09753,3.2e-4,0.10576,0.11127,0.09659,0.09397,2.6e-4,0.10056,-0.1,0.08644,0.0976,0.13142,0.09107,0.0983,0.10655,0.09054,-0.1,1,1,1,0.08904,86.72924,0,0-0.1 Gy
2,1,1,2,6,14,2,8,0,30.80493,28.61008,5492.531,25.979,69.186,1988.812,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.1e-4,4.1e-4,0,4.6e-4,4.6e-4,0,4.7e-4,4.8e-4,4.3e-4,4.3e-4,0,4.5e-4,-0.1,4e-4,4.4e-4,5.5e-4,4.2e-4,4.3e-4,4.8e-4,4.1e-4,-0.1,1,1,1,4.1e-4,28.61008,0,0-0.1 Gy
1,1,1,1,10,17,5,4,0,0.58042,0.55273,1800.255,49.89,80.146,1975.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04538,0.04462,8e-5,0.05695,0.05531,1.6e-4,0.05805,0.04922,0.04974,0.04858,1.2e-4,0.05519,-0.1,0.04733,0.05571,0.0697,0.04556,0.04367,0.04962,0.04439,-0.1,1,1,0,0.04538,0.55273,0,0-0.1 Gy
2,2,1,1,9,18,9,7,0,3.16906,2.90654,1689.658,44.213,85.804,1987.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13875,0.13778,1e-4,0.15572,0.15411,1.6e-4,0.16584,0.17449,0.13238,0.13117,1.2e-4,0.15626,0.13272,0.13602,0.15946,0.19587,0.15847,-0.1,0.1768,0.1499,0.13592,1,1,0,0.13875,2.90654,1,0.1-0.2 Gy
2,1,1,1,10,16,5,4,0,20.97467,19.11988,2033.847,48.074,76.534,1974.067,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.04633,0.04616,2e-5,0.05311,0.0528,3e-5,0.05458,0.05354,0.04851,0.04827,2e-5,0.05168,-0.1,0.04628,0.051,0.06473,0.04806,0.04803,0.05451,0.04682,-0.1,1,1,2,0.04633,19.11988,0,0-0.1 Gy
2,1,1,1,11,15,8,3,0,9.72758,9.10735,1960.689,51.298,73.347,1967.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11954,0.11896,6e-5,0.13397,0.13291,1.1e-4,0.14192,0.13453,0.1279,0.12703,9e-5,0.13309000000000001,-0.1,0.11656999999999999,0.12664,0.16281,0.11641,0.12486,0.13992,0.12435,-0.1,1,1,0,0.11954,9.10735,1,0.1-0.2 Gy
2,1,1,1,11,18,3,5,0,18.26762,17.10288,2538.52,52.786,86.389,1979.212,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00885,0.00884,0,0.00997,0.00995,0,0.01025,0.01034,0.00929,0.00927,0,0.00978,-0.1,0.00869,0.00953,0.01212,0.0091,0.00939,0.01043,0.00891,-0.1,1,1,1,0.00885,17.10288,0,0-0.1 Gy
1,1,1,1,2,5,4,2,0,440.89117,360.65779,2027.15,6.406,23.407,1962.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,0.02816,3e-5,0.03177,0.03114,6e-5,0.03107,0.03185,0.02897,0.02849,5e-5,0.03003,-0.1,0.0277,0.02988,0.03661,0.02899,0.02891,0.03059,0.02822,-0.1,1,1,0,0.0285,360.65779,0,0-0.1 Gy
2,1,1,1,2,9,4,5,0,267.59959,168.36027,2191.629,8.178,41.778,1979.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02874,0.02864,1e-5,0.03181,0.03163,2e-5,0.03083,0.03146,0.02916,0.02901,1e-5,0.03013,-0.1,0.02794,0.029760000000000002,0.03604,0.02909,0.029,0.03112,0.02839,-0.1,1,1,0,0.02874,168.36027,0,0-0.1 Gy
