endpoint,contrast,sex,city,agxcat,agecat,agex,age,year,pyr,dose,dose_level,pihat,cate,cate_lo,cate_hi,logRR,rr
solid,control_vs_moderate,1,1,7,16,34.702,75.054,1985.948,0.14089,0.09547,control,0.4296439796170121,242.39852614705225,-360.5818198253613,1001.0391559216324,0.09897033308940734,1.1136464649193947
solid,control_vs_moderate,1,1,4,11,17.777,51.577,1979.397,86.72924,0.08904,control,0.4584134840616739,69.76416443936962,-46.40105007986088,222.3959519231143,0.15147753580215437,1.1737300836154925
solid,control_vs_moderate,1,2,6,14,25.979,69.186,1988.812,28.61008,4.1e-4,control,0.41911893791604743,718.9139419497733,-71.01159359028726,1942.6811778566755,0.26905599615206033,1.3247440313164074
solid,control_vs_moderate,1,1,10,17,49.89,80.146,1975.856,0.55273,0.04538,control,0.4084704856150956,459.9064415561239,-88.5872047684214,1522.066057998218,0.18007674883901278,1.2054695486075837
solid,control_vs_moderate,2,2,9,18,44.213,85.804,1987.198,2.90654,0.13875,moderate,0.40077921184173854,305.095598134359,-191.0485064340613,1004.5175487685118,0.15449697426712442,1.1776712875859325
solid,control_vs_moderate,2,1,7,10,33.239,47.283,1959.641,121.70959,0.27777,moderate,0.44901717978164496,47.404032342321734,-16.21554437931313,124.60731728547054,0.21045919194807888,1.2472514063868865
solid,control_vs_moderate,1,2,10,16,48.074,76.534,1974.067,19.11988,0.04633,control,0.3886779433369976,345.7920485693,-205.7860544360318,1094.1449556144648,0.12603571423698656,1.1418362759420717
solid,control_vs_moderate,1,2,11,15,51.298,73.347,1967.657,9.10735,0.11954,moderate,0.3854140404753647,126.96647246412134,-209.2095294528178,542.3710856722729,0.08867242690009423,1.1006267817177608
solid,control_vs_moderate,2,2,7,12,31.627,58.512,1972.491,46.44575,0.27481,moderate,0.4244124236340794,88.9395391819026,-26.550291314976388,246.7307071386734,0.21055105178288896,1.2473286321468338
solid,control_vs_moderate,1,1,2,8,6.304,38.339,1977.631,180.74205,0.39217,moderate,0.4773500438669676,12.331107051721371,-7.650192634698908,40.26392757335833,0.14144495196162782,1.160310250191078
solid,control_vs_moderate,1,2,11,18,52.786,86.389,1979.212,17.10288,0.00885,control,0.3801320280628483,474.7411773466766,-89.66429795972827,1370.8884110839876,0.18024172322910265,1.205678803898749
solid,control_vs_moderate,1,1,2,5,6.406,23.407,1962.597,360.65779,0.0285,control,0.48132403925937667,2.9237389274663,-1.8162742372381284,9.898315469859813,0.14123725445206148,1.160058502967493
solid,control_vs_moderate,1,2,2,9,8.178,41.778,1979.205,168.36027,0.02874,control,0.44997057967360077,20.92604475474461,-11.54813029395246,69.67074163256106,0.14144495196162782,1.160310250191078
solid,control_vs_moderate,2,1,5,12,24.879,55.143,1975.859,5.52831,0.01064,control,0.4579688903736577,143.15672159365653,1.8203145868299262,400.81909842847307,0.3411169829563179,1.427442626228712
solid,control_vs_moderate,1,2,2,11,7.562,51.745,1989.787,16.35266,0.27278,moderate,0.44806729475949686,65.68426835694609,-41.42956291360815,210.57335824460534,0.14135380479266968,1.1601895557545097
solid,control_vs_moderate,2,1,13,18,61.726,94.201,1978.074,91.86399,0,control,0.3991483243673676,197.3556343903164,-126.26089649927839,656.1418573486383,0.15289849736888686,1.176045948616222
solid,control_vs_moderate,2,2,10,12,46.001,59.192,1958.799,22.35233,0.05179,control,0.40553701311618395,67.35765993920575,-84.9045906708238,289.26018341309805,0.15161637772763464,1.186513104543301
solid,control_vs_moderate,2,1,5,14,22.849,66.982,1989.728,270.82438,0.0494,control,0.45742723925972945,166.24584856406145,-255.30660850606728,685.1169586749666,0.12171545434179591,1.1459530425911932
solid,control_vs_moderate,1,2,3,11,11.119,52.442,1986.929,7.98058,0.08848,control,0.4431695015970972,57.89312086464169,-31.649031490958308,189.47401387666562,0.14149157974836787,1.1603600216215626
solid,control_vs_moderate,2,1,10,16,48.057,76.688,1974.229,784.6847,0.01027,control,0.4215374845279515,189.72906792694516,-154.72633081969005,617.945359836149,0.15097829719793154,1.175228389241909
solid,control_vs_moderate,1,1,10,13,47.794,61.902,1959.707,236.63047,0.04941,control,0.4160671058313786,-44.72119496526315,-379.20472367833815,268.58282179370804,-0.04938108066687483,0.9630443788699317
solid,control_vs_moderate,1,1,3,7,13.538,31.969,1964.028,2204.39035,1.2e-4,control,0.4694398981868647,7.238865457767841,-4.023678236484734,23.900864398417113,0.141639001256595,1.160505096695214
solid,control_vs_moderate,2,1,8,13,39.857,60.131,1965.871,5.78469,0.00945,control,0.43677268988124435,47.596610128811875,-179.78018192319857,336.6296352424315,0.07658586072807626,1.0983075816839
solid,control_vs_moderate,1,1,12,16,59.962,75.183,1960.822,0.81755,0.02552,control,0.3968087555411535,145.24413482424754,-225.12948150749034,656.117602737856,0.0889437341888153,1.1009367811463395
solid,control_vs_moderate,1,1,5,16,23.836,76.126,1997.886,24.39014,0.03213,control,0.4436725558764675,1034.6299765979218,15.443925106523167,2608.640244868707,0.2775319209517509,1.3340247558146685
solid,control_vs_moderate,2,1,11,13,50.868,64.134,1958.865,317.3132,1.2e-4,control,0.421241620325333,15.059493446524797,-242.27510222112426,311.485322012076,0.0070566868607370575,1.027915969049977
